################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.2158047022128669E-01 a         1     0     1     1     1
  6.1566452960193829E-01 a         2     0     1     1     2
  9.2812399450118876E-02 a         3     0     1     1     3
  1.4880327410201477E+00 a         4     0     1     1     4
 -6.4297526289016371E-01 a         5     0     1     1     5
  6.7330920205262476E-02 a         6     0     1     1     6
 -8.1020368804188037E-01 a         7     0     1     1     7
  3.2100396739788339E-01 a         8     0     1     1     8
  2.4095406523925395E-01 a         9     0     1     1     9
  6.7648420106656326E-01 a        10     0     1     1    10
 -7.4108818503214924E-01 a        11     0     1     1    11
 -9.0775537264708783E-01 a        12     0     1     1    12
 -2.9443487685477376E-01 a        13     0     1     1    13
  1.2057373516886954E-01 a        14     0     1     1    14
 -6.4397045338640968E-01 a        15     0     1     1    15
  1.4401635751302677E-01 a        16     0     2     1     1
  5.2732376366580391E-01 a        17     0     2     1     2
  5.1435007019322598E-01 a        18     0     2     1     3
 -6.9723302475190430E-01 a        19     0     2     1     4
 -1.0469941320680092E+00 a        20     0     2     1     5
 -1.4965410272839319E+00 a        21     0     2     1     6
  2.0179958850037134E+00 a        22     0     2     1     7
  4.2301917375459990E+00 a        23     0     2     1     8
  9.9345040901720705E-01 a        24     0     2     1     9
 -7.5075482657419723E-01 a        25     0     2     1    10
  4.2409240342320312E-02 a        26     0     2     1    11
  2.7965991500592008E-01 a        27     0     2     1    12
 -3.6043365905060236E+00 a        28     0     2     1    13
 -1.9480440113511450E+00 a        29     0     2     1    14
 -4.9925278871302750E+00 a        30     0     2     1    15
 -3.1200710485745442E-01 a        31     0     3     1     1
  8.8802415559447989E-01 a        32     0     3     1     2
 -5.5853875570042733E-01 a        33     0     3     1     3
 -4.7785119726295305E-01 a        34     0     3     1     4
  8.1572146100999388E-02 a        35     0     3     1     5
  6.4628439119634140E-01 a        36     0     3     1     6
 -2.7925707063126326E-01 a        37     0     3     1     7
  6.4617291300277505E-02 a        38     0     3     1     8
 -1.0473073451004090E-01 a        39     0     3     1     9
  3.9394884144631931E-01 a        40     0     3     1    10
 -3.5613303598741564E-01 a        41     0     3     1    11
 -7.3385345583509776E-01 a        42     0     3     1    12
  5.7868365983052183E-01 a        43     0     3     1    13
 -2.9747830989631208E-01 a        44     0     3     1    14
  6.6310461906761453E-01 a        45     0     3     1    15
  1.6451480921704762E+00 a        46     0     4     1     1
 -1.1491606200852433E+00 a        47     0     4     1     2
  2.4622795610600750E-02 a        48     0     4     1     3
 -1.1262230488392893E+00 a        49     0     4     1     4
 -4.4336017369597497E-01 a        50     0     4     1     5
  4.8269642776746204E-02 a        51     0     4     1     6
