################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1          1   0.0000000000000000E+00   1.0462171768121109E+01   1.7584140604402183E+00   1.2651346736907061E+00
         1          2   0.0000000000000000E+00   4.9942964198905040E+00   1.4116000116031109E+00   1.3876937154708144E+00
         1          3   0.0000000000000000E+00   9.9001354158262220E+00   1.6334404943311103E+00   1.1752562624839564E+00
         1          4   0.0000000000000000E+00   4.6624728619219651E+00   1.3116125200805371E+00   1.2909217290301114E+00
         1          5   0.0000000000000000E+00   8.8945857960513415E+00   1.4198081309071500E+00   1.0210954741475431E+00
         1          6   0.0000000000000000E+00   4.1011290399130216E+00   1.1372567626821706E+00   1.1220464772928915E+00
         1          7   0.0000000000000000E+00   7.4079361747871726E+00   1.1292987323289967E+00   8.1107826960512197E-01
         1          8   0.0000000000000000E+00   3.3113308225291025E+00   8.9078489463387178E-01   8.8297960774282835E-01
         1          9   0.0000000000000000E+00   5.4913020307904468E+00   8.0374476019671715E-01   5.7962710388633298E-01
         1         10   0.0000000000000000E+00   2.3317644711947749E+00   5.9480110336741654E-01   5.9510870003356997E-01
         1         11   0.0000000000000000E+00   3.3740785441158123E+00   5.1174321399374434E-01   3.9133641310150785E-01
         1         12   0.0000000000000000E+00   1.3595466969861632E+00   3.0123873663396777E-01   3.0786671088496137E-01
         1         13   0.0000000000000000E+00   1.7848827351022136E+00   3.1328770374949433E-01   2.8375531612908172E-01
         1         14   0.0000000000000000E+00   6.2577406086010412E-01   9.6375369451386542E-02   1.0391895347666814E-01
         1         15   0.0000000000000000E+00   1.1767610273772917E+00   1.8814592615872083E-01   1.9582754126490223E-01
         1         16   0.0000000000000000E+00   3.9926626554611500E-01   1.5065396160735694E-02   1.8839798636031090E-02
         1         17   0.0000000000000000E+00   5.3912182749800998E+01   1.9516808564543893E+00   3.2878077135225925E+00
         1         18   0.0000000000000000E+00   1.4070358155769254E+01   1.8383768822405053E+00   2.7027046192055186E+00
         1         19   0.0000000000000000E+00   1.2471498364865248E+01   1.8768914275424899E+00   2.1171050444842794E+00
         1         20   0.0000000000000000E+00   4.9594659959336326E+01   1.9164266348846355E+00   3.1451779392411572E+00
         1         21   0.0000000000000000E+00   1.3351545812706105E+01   1.4697638696598010E+00   2.0766707271564333E+00
         1         22   0.0000000000000000E+00   1.0047241982750634E+01   1.4078457982575880E+00   1.5377638721537368E+00
         1         23   0.0000000000000000E+00   1.6657423197847049E+01   5.3427499761973973E-01   9.5107722980109333E-01
         1         24   0.0000000000000000E+00   4.7978546041271510E+00   5.7381935521240313E-01   8.7349044663490216E-01
         1         25   0.0000000000000000E+00   3.6997145027996203E+00   5.0106914585640372E-01   5.8126007177489236E-01
         1         26   0.0000000000000000E+00   1.2418799140882751E+01   4.6661487853816386E-01   7.5983598136357899E-01
         1         27   0.0000000000000000E+00   3.9193160419476496E+00   3.0670898220905146E-01   4.2713128775718334E-01
         1         28   0.0000000000000000E+00   1.4868892097572506E+00   1.3952978622331327E-01   1.5349613079260688E-01
         1         29   0.0000000000000000E+00   2.5189411520106148E+01   6.7755900723710916E-01   1.2350324370916153E+00
         1         30   0.0000000000000000E+00   5.6597608012361933E+00   6.3557738306633160E-01   9.7549796918575127E-01
         1         31   0.0000000000000000E+00   5.1189104200633357E+00   6.8947597267958682E-01   8.0420850910657693E-01
         1         32   0.0000000000000000E+00   2.3212047827620353E+01   6.2197861128125453E-01   1.1336679495158695E+00
         1         33   0.0000000000000000E+00   5.1697699824839312E+00   4.9226286150072085E-01   7.2792094588773082E-01
         1         34   0.0000000000000000E+00   3.8575075614005221E+00   4.8067521032268212E-01   5.3678663087916223E-01
         1         35   0.0000000000000000E+00   7.6668839359384631E+00   1.9384950135755705E-01   3.7427725905322945E-01
         1         36   0.0000000000000000E+00   2.0573501227697473E+00   2.0354907384100110E-01   3.2565459335149838E-01
         1         37   0.0000000000000000E+00   1.5019927477258708E+00   1.7337272781462512E-01   2.1063032477092858E-01
         1         38   0.0000000000000000E+00   5.6670145593554873E+00   1.4198243976020886E-01   2.6480553366780291E-01
         1         39   0.0000000000000000E+00   1.5175804800601627E+00   9.6240146366515955E-02   1.4023049112102234E-01
         1         40   0.0000000000000000E+00   4.1874553892652605E-01   3.5152979756264996E-02   3.9692619799135007E-02
         1         41   0.0000000000000000E+00   4.9849528957020990E+00   8.0193475940699574E-02   1.8472401915840864E-01
         1         42   0.0000000000000000E+00   9.8986186623985040E-01   6.1574682301038977E-02   1.0802024470209812E-01
         1         43   0.0000000000000000E+00   8.6471180389069657E-01   7.8761902649432530E-02   1.0266321322347133E-01
         1         44   0.0000000000000000E+00   4.6578553740635877E+00   6.0734502230974360E-02   1.5005179756354958E-01
         1         45   0.0000000000000000E+00   9.7575105465369016E-01   4.5370281017011800E-02   7.9076898810022736E-02
         1         46   0.0000000000000000E+00   5.2597588541037743E-01   4.7528921958823252E-02   5.7141644227202852E-02
         1         47   0.0000000000000000E+00   1.6311504790083611E+00   2.6271778841862173E-02   7.0346173771358322E-02
         1         48   0.0000000000000000E+00   4.0433549287576165E-01   2.0806441585423378E-02   3.8470514782120102E-02
         1         49   0.0000000000000000E+00   2.8792309086069207E-01   1.7792347605425956E-02   2.5731324166599137E-02
         1         50   0.0000000000000000E+00   1.0351373928183609E+00   1.1789521126591436E-02   3.3840099714173302E-02
         1         51   0.0000000000000000E+00   2.0106744847566468E-01   7.7545479490680018E-03   1.3307998381735346E-02
         1         52   0.0000000000000000E+00   3.5353309789219613E-02   1.7452330246973591E-03   2.1196689759496300E-03
         1         53   0.0000000000000000E+00   1.6030950295155193E+00   1.3539526531502808E-02   4.4979068799666240E-02
         1         54   0.0000000000000000E+00   2.8315428456949243E-01   6.7207825593271972E-03   1.4744129001456750E-02
         1         55   0.0000000000000000E+00   1.8255079753554182E-01   9.6576759336739690E-03   1.4610975456026716E-02
         1         56   0.0000000000000000E+00   1.3300300371286480E+00   8.5683809659115994E-03   3.4480738896943183E-02
         1         57   0.0000000000000000E+00   2.6093263686519141E-01   4.9296483328748310E-03   1.1450920793791864E-02
         1         58   0.0000000000000000E+00   9.7373252172443747E-02   5.2387162988858336E-03   7.0903474369373365E-03
         1         59   0.0000000000000000E+00   1.0342794171136387E+00   5.1389567494145591E-03   2.3737614060629977E-02
         1         60   0.0000000000000000E+00   1.3103319842574207E-01   2.3102273874076843E-03   5.3995830973013791E-03
         1         61   0.0000000000000000E+00   9.2665704906987487E-02   2.1586136826692291E-03   4.0415352714729055E-03
         1         62   0.0000000000000000E+00   4.2345470675673652E-01   1.4855994014721860E-03   8.3545335185558206E-03
         1         63   0.0000000000000000E+00   5.2843994010293473E-02   7.5303748736958948E-04   1.6864869158267743E-03
         1         64   0.0000000000000000E+00   3.6229353176327672E-03   1.1523388800964115E-04   1.5622297226880162E-04
         2          1   0.0000000000000000E+00   1.8963171083252316E+01   4.5518772403699498E-01   1.0664987501308902E+00
         2          2   0.0000000000000000E+00   1.9202355151450888E+01   1.2096453896243817E+01   1.3318772215269521E+00
         2          3   0.0000000000000000E+00   1.6956486363025284E+01   3.7675863167374296E-01   9.1041746556142944E-01
         2          4   0.0000000000000000E+00   1.5879961422738297E+01   9.9312487652320094E+00   1.0979806070077021E+00
         2          5   0.0000000000000000E+00   1.3819829055872750E+01   2.6864360905030449E-01   6.8841856342329388E-01
         2          6   0.0000000000000000E+00   1.1269419536697681E+01   6.9294036379748860E+00   7.7796069553933767E-01
         2          7   0.0000000000000000E+00   1.0042527094930637E+01   1.6270630586859369E-01   4.5684219644121177E-01
         2          8   0.0000000000000000E+00   6.7255495855263856E+00   3.9497004172057890E+00   4.6694591814012987E-01
         2          9   0.0000000000000000E+00   6.2756391430184877E+00   8.3526193459935852E-02   2.6303531952033615E-01
         2         10   0.0000000000000000E+00   3.2312067972306031E+00   1.6840212992698791E+00   2.2893259318662010E-01
         2         11   0.0000000000000000E+00   3.1172661748596018E+00   3.4994744530324022E-02   1.2267570707912220E-01
         2         12   0.0000000000000000E+00   1.2841109763902749E+00   4.1400149442763989E-01   7.5200146229980058E-02
         2         13   0.0000000000000000E+00   1.1371226743136693E+00   1.0249464308126569E-02   3.9131600784486395E-02
         2         14   0.0000000000000000E+00   4.4376816474407571E-01   3.6932655958038955E-02   1.1298079719172545E-02
         2         15   0.0000000000000000E+00   4.3297668908707915E-01   1.5390358205510275E-03   6.6807795253464369E-03
         2         16   0.0000000000000000E+00   1.3794682368295430E-01   6.6499120576565243E-04   6.8187525035863885E-04
         2         17  -1.1427806434343879E-19   1.5071822041314221E+02   4.0487892313074020E-01   2.3638112472697723E+00
         2         18   0.0000000000000000E+00   1.5514231867971310E+02   5.5566322493710887E+00   1.2675498815132915E+01
         2         19   0.0000000000000000E+00   1.8436519443562983E+02   7.3847069791289528E+01   1.5399180668578268E+01
         2         20  -2.0773984767746073E-20   1.9689750935297380E+02   7.4029502031050032E-01   3.8691166095028988E+00
         2         21   0.0000000000000000E+00   1.3978769789148711E+02   5.2332752623859609E+00   1.1554834641447750E+01
         2         22   0.0000000000000000E+00   1.7605983229090293E+02   6.9251924243039412E+01   1.3897356441095505E+01
         2         23  -4.9575986370459757E-20   3.3612655639851646E+01   8.2036916493889681E-02   5.4130111681476178E-01
         2         24   0.0000000000000000E+00   5.1450466875307541E+01   1.6123892432040405E+00   3.7332917085964046E+00
         2         25   0.0000000000000000E+00   5.2686907463658571E+01   2.1074704047512309E+01   4.5495946499928079E+00
         2         26  -1.7890108026276574E-24   6.0302025085230468E+01   2.9145120745956427E-01   1.4412192071329264E+00
         2         27   0.0000000000000000E+00   3.9855092759336273E+01   1.3765159194795142E+00   2.9666751842003478E+00
         2         28   0.0000000000000000E+00   4.4445273193704182E+01   1.6368849806649543E+01   3.3699239144386581E+00
         2         29  -6.5552127937197858E-24   4.0941857491807305E+01   5.9992075959818772E-02   4.4763598148248229E-01
         2         30   0.0000000000000000E+00   2.1042993180434106E+01   5.4668814184125247E-01   1.4949723312341907E+00
         2         31   0.0000000000000000E+00   1.9391552998014667E+01   6.6406465460638620E+00   1.5284639118439234E+00
         2         32  -1.1916363084066152E-24   4.6128292551001593E+01   9.5013564570057510E-02   6.1023834533801069E-01
         2         33   0.0000000000000000E+00   2.1049578625784132E+01   5.0074246280291346E-01   1.3245966498880395E+00
         2         34   0.0000000000000000E+00   1.7554353585415370E+01   5.8653701093784223E+00   1.3238172697431005E+00
         2         35  -2.8437753297977886E-24   1.0268965297372967E+01   1.1349933427234457E-02   1.0805787562568642E-01
         2         36   0.0000000000000000E+00   6.6610453963333942E+00   1.6019943337177892E-01   4.4591356408960192E-01
         2         37   0.0000000000000000E+00   5.5623612903161126E+00   1.9035588002459740E+00   4.4939008846687650E-01
         2         38  -1.0262115103948242E-28   1.2450537241746334E+01   3.0498060195121173E-02   1.8601625338901748E-01
         2         39   0.0000000000000000E+00   5.9783276854018039E+00   1.2684933860247466E-01   3.2837657981322499E-01
         2         40   0.0000000000000000E+00   3.7341317723687348E+00   1.1216107440016854E+00   2.6860752798146492E-01
         2         41  -9.4954288985475645E-35   4.1763446207148780E+00   3.7922152159150209E-03   3.5150565675552442E-02
         2         42   0.0000000000000000E+00   8.2870806874741842E-01   1.2512691626109773E-02   4.2509375885129701E-02
         2         43   0.0000000000000000E+00   7.5410698007824195E-01   7.3299893437094227E-02   2.9349790317353248E-02
         2         44  -1.7261221253172939E-35   3.9350658722645862E+00   4.4896682258123224E-03   3.7189884667600384E-02
         2         45   0.0000000000000000E+00   8.2503305184547826E-01   1.0740845574946265E-02   3.6111704247406916E-02
         2         46   0.0000000000000000E+00   4.5933004228912533E-01   6.0695860605987188E-02   2.4132194299275891E-02
         2         47  -4.1192967028329910E-35   1.2875636002781614E+00   7.2865285193686414E-04   9.5071869931901143E-03
         2         48   0.0000000000000000E+00   2.3784692450739758E-01   3.7279494190923389E-03   1.2844310835839401E-02
         2         49   0.0000000000000000E+00   3.3175636934778696E-01   2.1470869340887964E-02   8.6159258528766894E-03
         2         50  -1.4864991783578241E-39   8.8891979144985533E-01   8.5908230441028978E-04   7.3885715966702306E-03
         2         51   0.0000000000000000E+00   2.3205571924375715E-01   2.4989997595201751E-03   8.5063612974431036E-03
         2         52   0.0000000000000000E+00   6.4896358720062691E-02   8.8960332458453365E-03   3.6792952415789747E-03
         2         53  -1.1970115962065362E-46   6.3364707322140756E-01   4.0460391707559392E-04   4.3644860116013543E-03
         2         54   0.0000000000000000E+00   6.9440735352542499E-02   4.2555528700287279E-04   1.6248254069514503E-03
         2         55   0.0000000000000000E+00   1.0391473274201739E-01   8.3428931604004667E-04   7.8654002343020522E-04
         2         56  -2.1759819620043908E-47   5.0760247023094252E-01   4.3040120363054300E-04   4.3078618221421665E-03
         2         57   0.0000000000000000E+00   5.9307442620670704E-02   3.4559362092435284E-04   1.3324332851815629E-03
